chinese_title,english_title,author,repo_name,description,topics,category,category_topic,kindle_url,books_tw_url
情緒勒索,Emotional Blackmail,Susan Forward,emotional-blackmail,Emotional Blackmail | Susan Forward | When the people in your life use fear obligation and guilt to manipulate you,growth-book-summary book-summary,心理建設,growth-book-summary,https://www.amazon.com/s?k=Emotional%20Blackmail%20Susan%20Forward,https://www.books.com.tw/web/sys_serch/?item=%E6%83%85%E7%B7%92%E5%8B%92%E7%B4%A2
"真心接納自己,培養健全的自尊心",Self-Acceptance and Self-Esteem,未知,self-acceptance-and-self-esteem,Self-Acceptance and Self-Esteem | Building genuine self-esteem through authentic self-acceptance and compassion,growth-book-summary book-summary,心理建設,growth-book-summary,https://www.amazon.com/s?k=%E7%9C%9F%E5%BF%83%E6%8E%A5%E7%B4%8D%E8%87%AA%E5%B7%B1%E5%9F%B9%E9%A4%8A%E8%87%AA%E5%B0%8A%E5%BF%83,https://www.books.com.tw/web/sys_serch/?item=%E7%9C%9F%E5%BF%83%E6%8E%A5%E7%B4%8D%E8%87%AA%E5%B7%B1%2C%E5%9F%B9%E9%A4%8A%E5%81%A5%E5%85%A8%E7%9A%84%E8%87%AA%E5%B0%8A%E5%BF%83
柯維經典紙條,The Wisdom of Stephen Covey,Stephen R. Covey,the-wisdom-of-stephen-covey,The Wisdom of Stephen Covey | Essential wisdom and principles from Stephen Covey's lifetime of leadership insights,growth-book-summary book-summary,心理建設,growth-book-summary,https://www.amazon.com/s?k=Stephen%20Covey%20wisdom%20principles,https://www.books.com.tw/web/sys_serch/?item=%E6%9F%AF%E7%B6%AD%E7%B6%93%E5%85%B8%E7%B4%99%E6%A2%9D
思考的藝術,The Art of Thinking Clearly,Rolf Dobelli,the-art-of-thinking-clearly,The Art of Thinking Clearly | Rolf Dobelli | 52 shortcuts to better decisions by understanding cognitive errors and biases,growth-book-summary book-summary,心理建設,growth-book-summary,https://www.amazon.com/s?k=The%20Art%20of%20Thinking%20Clearly%20Rolf%20Dobelli,https://www.books.com.tw/web/sys_serch/?item=%E6%80%9D%E8%80%83%E7%9A%84%E8%97%9D%E8%A1%93
哈佛教你打造健康人生,Harvard's Guide to Healthy Living,未知,harvards-guide-to-healthy-living,Harvard's Guide to Healthy Living | Evidence-based strategies from Harvard for building a healthy fulfilling life,growth-book-summary book-summary,心理建設,growth-book-summary,https://www.amazon.com/s?k=%E5%93%88%E4%BD%9B%E6%95%99%E4%BD%A0%E6%89%93%E9%80%A0%E5%81%A5%E5%BA%B7%E4%BA%BA%E7%94%9F,https://www.books.com.tw/web/sys_serch/?item=%E5%93%88%E4%BD%9B%E6%95%99%E4%BD%A0%E6%89%93%E9%80%A0%E5%81%A5%E5%BA%B7%E4%BA%BA%E7%94%9F
阿德勒心理學講義,Understanding Human Nature,Alfred Adler,understanding-human-nature,Understanding Human Nature | Alfred Adler | Foundational lectures on Adlerian psychology and understanding human behavior,growth-book-summary book-summary,心理建設,growth-book-summary,https://www.amazon.com/s?k=Understanding%20Human%20Nature%20Alfred%20Adler,https://www.books.com.tw/web/sys_serch/?item=%E9%98%BF%E5%BE%B7%E5%8B%92%E5%BF%83%E7%90%86%E5%AD%B8%E8%AC%9B%E7%BE%A9
怪物心理學,The Psychology of Monsters,未知,the-psychology-of-monsters,The Psychology of Monsters | Understanding the dark side of human nature and psychology of harmful behavior,growth-book-summary book-summary,心理建設,growth-book-summary,https://www.amazon.com/s?k=%E6%80%AA%E7%89%A9%E5%BF%83%E7%90%86%E5%AD%B8,https://www.books.com.tw/web/sys_serch/?item=%E6%80%AA%E7%89%A9%E5%BF%83%E7%90%86%E5%AD%B8
"你的不安,是因為太習慣受傷害",Your Anxiety Comes From Being Too Used to Hurt,未知,your-anxiety-comes-from-being-too-used-to-hurt,Your Anxiety Comes From Being Too Used to Hurt | Breaking free from anxiety patterns rooted in past hurt,growth-book-summary book-summary,心理建設,growth-book-summary,https://www.amazon.com/s?k=%E4%BD%A0%E7%9A%84%E4%B8%8D%E5%AE%89%E6%98%AF%E5%9B%A0%E7%82%BA%E5%A4%AA%E7%BF%92%E6%85%A3%E5%8F%97%E5%82%B7%E5%AE%B3,https://www.books.com.tw/web/sys_serch/?item=%E4%BD%A0%E7%9A%84%E4%B8%8D%E5%AE%89%2C%E6%98%AF%E5%9B%A0%E7%82%BA%E5%A4%AA%E7%BF%92%E6%85%A3%E5%8F%97%E5%82%B7%E5%AE%B3
行為的藝術,The Art of Action,Rolf Dobelli,the-art-of-action,The Art of Action | Rolf Dobelli | 52 tips for better decision-making through understanding behavioral patterns,growth-book-summary book-summary,心理建設,growth-book-summary,https://www.amazon.com/s?k=The%20Art%20of%20Action%20Rolf%20Dobelli,https://www.books.com.tw/web/sys_serch/?item=%E8%A1%8C%E7%82%BA%E7%9A%84%E8%97%9D%E8%A1%93
"比賽,從心開始",The Inner Game,W. Timothy Gallwey,the-inner-game,The Inner Game | W. Timothy Gallwey | Mastering the mental game for peak performance in sports and life,growth-book-summary book-summary,心理建設,growth-book-summary,https://www.amazon.com/s?k=The%20Inner%20Game%20Timothy%20Gallwey,https://www.books.com.tw/web/sys_serch/?item=%E6%AF%94%E8%B3%BD%2C%E5%BE%9E%E5%BF%83%E9%96%8B%E5%A7%8B
心靈雞湯自助手冊,Chicken Soup for the Soul Self-Help Guide,Jack Canfield,chicken-soup-for-the-soul-self-help-guide,Chicken Soup for the Soul Self-Help Guide | Jack Canfield | Inspiring stories and practical wisdom for personal growth,growth-book-summary book-summary,心理建設,growth-book-summary,https://www.amazon.com/s?k=Chicken%20Soup%20for%20the%20Soul%20Jack%20Canfield,https://www.books.com.tw/web/sys_serch/?item=%E5%BF%83%E9%9D%88%E9%9B%9E%E6%B9%AF%E8%87%AA%E5%8A%A9%E6%89%8B%E5%86%8A
心態致勝,Mindset,Carol S. Dweck,mindset,Mindset | Carol S. Dweck | The new psychology of success through developing a growth mindset for achievement,growth-book-summary book-summary,心理建設,growth-book-summary,https://www.amazon.com/s?k=Mindset%20Carol%20Dweck,https://www.books.com.tw/web/sys_serch/?item=%E5%BF%83%E6%85%8B%E8%87%B4%E5%8B%9D
不讓自己成為箭靶,Don't Be a Target,未知,dont-be-a-target,Don't Be a Target | Protecting yourself from manipulation and maintaining healthy boundaries with confidence,growth-book-summary book-summary,心理建設,growth-book-summary,https://www.amazon.com/s?k=%E4%B8%8D%E8%AE%93%E8%87%AA%E5%B7%B1%E6%88%90%E7%82%BA%E7%AE%AD%E9%9D%B6,https://www.books.com.tw/web/sys_serch/?item=%E4%B8%8D%E8%AE%93%E8%87%AA%E5%B7%B1%E6%88%90%E7%82%BA%E7%AE%AD%E9%9D%B6
一流的人如何保持顛峰,Peak Performance,"Brad Stulberg, Steve Magness",peak-performance,"Peak Performance | Brad Stulberg, Steve Magness | Elevate your game avoid burnout and thrive with the new science of success",growth-book-summary book-summary,心理建設,growth-book-summary,https://www.amazon.com/s?k=Peak%20Performance%20Brad%20Stulberg,https://www.books.com.tw/web/sys_serch/?item=%E4%B8%80%E6%B5%81%E7%9A%84%E4%BA%BA%E5%A6%82%E4%BD%95%E4%BF%9D%E6%8C%81%E9%A1%9B%E5%B3%B0
選民進化論,The Evolution of Voters,未知,the-evolution-of-voters,The Evolution of Voters | Understanding how voters think and evolve in democratic societies through political psychology,faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=%E9%81%B8%E6%B0%91%E9%80%B2%E5%8C%96%E8%AB%96,https://www.books.com.tw/web/sys_serch/?item=%E9%81%B8%E6%B0%91%E9%80%B2%E5%8C%96%E8%AB%96
擁抱B選項,Option B,"Sheryl Sandberg, Adam Grant",option-b,"Option B | Sheryl Sandberg, Adam Grant | Facing adversity building resilience and finding joy after life-changing hardships",faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=Option%20B%20Sheryl%20Sandberg,https://www.books.com.tw/web/sys_serch/?item=%E6%93%81%E6%8A%B1B%E9%81%B8%E9%A0%85
學會上桌,Show Your Work,Austin Kleon,show-your-work,Show Your Work | Austin Kleon | 10 ways to share your creativity and get discovered in the digital age,faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=Show%20Your%20Work%20Austin%20Kleon,https://www.books.com.tw/web/sys_serch/?item=%E5%AD%B8%E6%9C%83%E4%B8%8A%E6%A1%8C
請問呂律師,Ask Attorney Lu,呂秋遠,ask-attorney-lu,Ask Attorney Lu | 呂秋遠 | Legal wisdom and life advice from a Taiwanese attorney on relationships and society,faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=%E8%AB%8B%E5%95%8F%E5%91%82%E5%BE%8B%E5%B8%AB%20%E5%91%82%E7%A7%8B%E9%81%A0,https://www.books.com.tw/web/sys_serch/?item=%E8%AB%8B%E5%95%8F%E5%91%82%E5%BE%8B%E5%B8%AB
窮查理的普通常識,Poor Charlie's Almanack,Charles T. Munger,poor-charlies-almanack,Poor Charlie's Almanack | Charles T. Munger | The wit and wisdom of Charles T. Munger through mental models and life principles,faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=Poor%20Charlie%27s%20Almanack%20Munger,https://www.books.com.tw/web/sys_serch/?item=%E7%AA%AE%E6%9F%A5%E7%90%86%E7%9A%84%E6%99%AE%E9%80%9A%E5%B8%B8%E8%AD%98
窮忙:我們這樣的世代,The Working Poor,David K. Shipler,the-working-poor,The Working Poor | David K. Shipler | Invisible in America exploring the lives and struggles of the working poor,faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=The%20Working%20Poor%20David%20Shipler,https://www.books.com.tw/web/sys_serch/?item=%E7%AA%AE%E5%BF%99%3A%E6%88%91%E5%80%91%E9%80%99%E6%A8%A3%E7%9A%84%E4%B8%96%E4%BB%A3
寫給每個人的社會學讀本,Sociology for Everyone,未知,sociology-for-everyone,Sociology for Everyone | An accessible introduction to sociology and understanding society through sociological thinking,faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=%E5%AF%AB%E7%B5%A6%E6%AF%8F%E5%80%8B%E4%BA%BA%E7%9A%84%E7%A4%BE%E6%9C%83%E5%AD%B8%E8%AE%80%E6%9C%AC,https://www.books.com.tw/web/sys_serch/?item=%E5%AF%AB%E7%B5%A6%E6%AF%8F%E5%80%8B%E4%BA%BA%E7%9A%84%E7%A4%BE%E6%9C%83%E5%AD%B8%E8%AE%80%E6%9C%AC
當呼吸化為空氣,When Breath Becomes Air,Paul Kalanithi,when-breath-becomes-air,When Breath Becomes Air | Paul Kalanithi | A neurosurgeon's profound reflections on life and death facing terminal illness,faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=When%20Breath%20Becomes%20Air%20Paul%20Kalanithi,https://www.books.com.tw/web/sys_serch/?item=%E7%95%B6%E5%91%BC%E5%90%B8%E5%8C%96%E7%82%BA%E7%A9%BA%E6%B0%A3
黑道商學院,Mob Rules,Louis Ferrante,mob-rules,Mob Rules | Louis Ferrante | What the Mafia can teach the legitimate businessman about success and survival,faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=Mob%20Rules%20Louis%20Ferrante,https://www.books.com.tw/web/sys_serch/?item=%E9%BB%91%E9%81%93%E5%95%86%E5%AD%B8%E9%99%A2
"這一生,你想留下什麼",What Will You Leave Behind,未知,what-will-you-leave-behind,What Will You Leave Behind | Reflecting on life's purpose and the meaningful legacy you want to create,faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=%E9%80%99%E4%B8%80%E7%94%9F%E4%BD%A0%E6%83%B3%E7%95%99%E4%B8%8B%E4%BB%80%E9%BA%BC,https://www.books.com.tw/web/sys_serch/?item=%E9%80%99%E4%B8%80%E7%94%9F%2C%E4%BD%A0%E6%83%B3%E7%95%99%E4%B8%8B%E4%BB%80%E9%BA%BC
終結平庸,Beyond Mediocrity,未知,beyond-mediocrity,Beyond Mediocrity | Breaking free from average to achieve excellence and realize your full potential,faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=%E7%B5%82%E7%B5%90%E5%B9%B3%E5%BA%B8,https://www.books.com.tw/web/sys_serch/?item=%E7%B5%82%E7%B5%90%E5%B9%B3%E5%BA%B8
第二曲線,The Second Curve,Charles Handy,the-second-curve,The Second Curve | Charles Handy | Thoughts on reinventing society through understanding discontinuous change and renewal,faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=The%20Second%20Curve%20Charles%20Handy,https://www.books.com.tw/web/sys_serch/?item=%E7%AC%AC%E4%BA%8C%E6%9B%B2%E7%B7%9A
動機背後的隱藏邏輯,Drive,Daniel H. Pink,drive,Drive | Daniel H. Pink | The surprising truth about what motivates us through autonomy mastery and purpose,faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=Drive%20Daniel%20Pink,https://www.books.com.tw/web/sys_serch/?item=%E5%8B%95%E6%A9%9F%E8%83%8C%E5%BE%8C%E7%9A%84%E9%9A%B1%E8%97%8F%E9%82%8F%E8%BC%AF
記得你是誰,Remember Who You Are,Daisy Wademan,remember-who-you-are,Remember Who You Are | Daisy Wademan | Life lessons from Harvard Business School on leadership and values,faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=Remember%20Who%20You%20Are%20Daisy%20Wademan,https://www.books.com.tw/web/sys_serch/?item=%E8%A8%98%E5%BE%97%E4%BD%A0%E6%98%AF%E8%AA%B0
"美國,再見?",Farewell America,未知,farewell-america,Farewell America | Critical analysis of America's challenges and potential futures in a changing world,faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=%E7%BE%8E%E5%9C%8B%E5%86%8D%E8%A6%8B,https://www.books.com.tw/web/sys_serch/?item=%E7%BE%8E%E5%9C%8B%2C%E5%86%8D%E8%A6%8B%3F
活出生命最好的可能,Living Your Best Life,未知,living-your-best-life,Living Your Best Life | Discovering and living your fullest potential through intentional choices and growth,faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=%E6%B4%BB%E5%87%BA%E7%94%9F%E5%91%BD%E6%9C%80%E5%A5%BD%E7%9A%84%E5%8F%AF%E8%83%BD,https://www.books.com.tw/web/sys_serch/?item=%E6%B4%BB%E5%87%BA%E7%94%9F%E5%91%BD%E6%9C%80%E5%A5%BD%E7%9A%84%E5%8F%AF%E8%83%BD
