chinese_title,english_title,author,repo_name,description,topics,category,category_topic,kindle_url,books_tw_url
成功人士一定會做的9件事情,Nine Things Successful People Do Differently,Heidi Grant Halvorson,nine-things-successful-people-do-differently,Nine Things Successful People Do Differently | Heidi Grant Halvorson | Science-backed strategies that successful people use consistently,growth-book-summary book-summary,自我管理,growth-book-summary,https://www.amazon.com/s?k=Nine%20Things%20Successful%20People%20Do%20Heidi%20Grant,https://www.books.com.tw/web/sys_serch/?item=%E6%88%90%E5%8A%9F%E4%BA%BA%E5%A3%AB%E4%B8%80%E5%AE%9A%E6%9C%83%E5%81%9A%E7%9A%849%E4%BB%B6%E4%BA%8B%E6%83%85
生活的藝術,The Art of Living,Epictetus,the-art-of-living,The Art of Living | Epictetus | The classical manual on virtue happiness and effectiveness from Stoic philosophy,growth-book-summary book-summary,自我管理,growth-book-summary,https://www.amazon.com/s?k=The%20Art%20of%20Living%20Epictetus,https://www.books.com.tw/web/sys_serch/?item=%E7%94%9F%E6%B4%BB%E7%9A%84%E8%97%9D%E8%A1%93
未來最需要的新人才,A Whole New Mind,Daniel H. Pink,a-whole-new-mind,A Whole New Mind | Daniel H. Pink | Why right-brainers will rule the future in the conceptual age,growth-book-summary book-summary,自我管理,growth-book-summary,https://www.amazon.com/s?k=A%20Whole%20New%20Mind%20Daniel%20Pink,https://www.books.com.tw/web/sys_serch/?item=%E6%9C%AA%E4%BE%86%E6%9C%80%E9%9C%80%E8%A6%81%E7%9A%84%E6%96%B0%E4%BA%BA%E6%89%8D
世界頂尖人士如何實踐這樣的基本功,The Basics That Top Performers Practice,未知,the-basics-that-top-performers-practice,The Basics That Top Performers Practice | Essential fundamentals that world-class performers master consistently,growth-book-summary book-summary,自我管理,growth-book-summary,https://www.amazon.com/s?k=%E4%B8%96%E7%95%8C%E9%A0%82%E5%B0%96%E4%BA%BA%E5%A3%AB%E5%9F%BA%E6%9C%AC%E5%8A%9F,https://www.books.com.tw/web/sys_serch/?item=%E4%B8%96%E7%95%8C%E9%A0%82%E5%B0%96%E4%BA%BA%E5%A3%AB%E5%A6%82%E4%BD%95%E5%AF%A6%E8%B8%90%E9%80%99%E6%A8%A3%E7%9A%84%E5%9F%BA%E6%9C%AC%E5%8A%9F
少 但是更好,Essentialism,Greg McKeown,essentialism,Essentialism | Greg McKeown | The disciplined pursuit of less but better through focusing on what truly matters,growth-book-summary book-summary,自我管理,growth-book-summary,https://www.amazon.com/s?k=Essentialism%20Greg%20McKeown,https://www.books.com.tw/web/sys_serch/?item=%E5%B0%91%20%E4%BD%86%E6%98%AF%E6%9B%B4%E5%A5%BD
Google時代一定要會的整理術,Getting Things Done in the Google Age,未知,getting-things-done-in-the-google-age,Getting Things Done in the Google Age | Essential organization skills for the digital information era,growth-book-summary book-summary,自我管理,growth-book-summary,https://www.amazon.com/s?k=Google%E6%99%82%E4%BB%A3%E6%95%B4%E7%90%86%E8%A1%93,https://www.books.com.tw/web/sys_serch/?item=Google%E6%99%82%E4%BB%A3%E4%B8%80%E5%AE%9A%E8%A6%81%E6%9C%83%E7%9A%84%E6%95%B4%E7%90%86%E8%A1%93
關鍵四秒,The Critical Four Seconds,未知,the-critical-four-seconds,The Critical Four Seconds | Mastering the pause between stimulus and response for better decisions,growth-book-summary book-summary,自我管理,growth-book-summary,https://www.amazon.com/s?k=%E9%97%9C%E9%8D%B5%E5%9B%9B%E7%A7%92,https://www.books.com.tw/web/sys_serch/?item=%E9%97%9C%E9%8D%B5%E5%9B%9B%E7%A7%92
複製成功腦,Copying the Success Brain,未知,copying-the-success-brain,Copying the Success Brain | Rewiring your brain for success through understanding successful thinking patterns,growth-book-summary book-summary,自我管理,growth-book-summary,https://www.amazon.com/s?k=%E8%A4%87%E8%A3%BD%E6%88%90%E5%8A%9F%E8%85%A6,https://www.books.com.tw/web/sys_serch/?item=%E8%A4%87%E8%A3%BD%E6%88%90%E5%8A%9F%E8%85%A6
領導最好的自己,Leading Your Best Self,未知,leading-your-best-self,Leading Your Best Self | Discovering and developing your authentic leadership through self-mastery,growth-book-summary book-summary,自我管理,growth-book-summary,https://www.amazon.com/s?k=%E9%A0%98%E5%B0%8E%E6%9C%80%E5%A5%BD%E7%9A%84%E8%87%AA%E5%B7%B1,https://www.books.com.tw/web/sys_serch/?item=%E9%A0%98%E5%B0%8E%E6%9C%80%E5%A5%BD%E7%9A%84%E8%87%AA%E5%B7%B1
與成功有約,The 7 Habits of Highly Effective People,Stephen R. Covey,the-7-habits-of-highly-effective-people,The 7 Habits of Highly Effective People | Stephen R. Covey | Powerful lessons in personal change through principle-centered habits,growth-book-summary book-summary,自我管理,growth-book-summary,https://www.amazon.com/s?k=7%20Habits%20Highly%20Effective%20People%20Stephen%20Covey,https://www.books.com.tw/web/sys_serch/?item=%E8%88%87%E6%88%90%E5%8A%9F%E6%9C%89%E7%B4%84
零秒思考力[實踐篇],Zero Second Thinking Practice Edition,赤羽雄二,zero-second-thinking-practice-edition,Zero Second Thinking Practice Edition | 赤羽雄二 | Practical exercises for developing instant thinking and decision-making skills,growth-book-summary book-summary,自我管理,growth-book-summary,https://www.amazon.com/s?k=%E9%9B%B6%E7%A7%92%E6%80%9D%E8%80%83%E5%8A%9B%20%E5%AF%A6%E8%B8%90%E7%AF%87%20%E8%B5%A4%E7%BE%BD%E9%9B%84%E4%BA%8C,https://www.books.com.tw/web/sys_serch/?item=%E9%9B%B6%E7%A7%92%E6%80%9D%E8%80%83%E5%8A%9B%5B%E5%AF%A6%E8%B8%90%E7%AF%87%5D
零秒思考力,Zero Second Thinking,赤羽雄二,zero-second-thinking,Zero Second Thinking | 赤羽雄二 | The world's simplest brain training method for instant clarity and decisions,growth-book-summary book-summary,自我管理,growth-book-summary,https://www.amazon.com/s?k=%E9%9B%B6%E7%A7%92%E6%80%9D%E8%80%83%E5%8A%9B%20%E8%B5%A4%E7%BE%BD%E9%9B%84%E4%BA%8C,https://www.books.com.tw/web/sys_serch/?item=%E9%9B%B6%E7%A7%92%E6%80%9D%E8%80%83%E5%8A%9B
週一清晨的領導課,Monday Morning Leadership,David Cottrell,monday-morning-leadership,Monday Morning Leadership | David Cottrell | 8 mentoring sessions for leadership growth through practical lessons,growth-book-summary book-summary,自我管理,growth-book-summary,https://www.amazon.com/s?k=Monday%20Morning%20Leadership%20David%20Cottrell,https://www.books.com.tw/web/sys_serch/?item=%E9%80%B1%E4%B8%80%E6%B8%85%E6%99%A8%E7%9A%84%E9%A0%98%E5%B0%8E%E8%AA%B2
麥肯錫の零秒邏輯思考,McKinsey Zero Second Logic,未知,mckinsey-zero-second-logic,McKinsey Zero Second Logic | Instant logical thinking methods used by McKinsey consultants,growth-book-summary book-summary,自我管理,growth-book-summary,https://www.amazon.com/s?k=%E9%BA%A5%E8%82%AF%E9%8C%AB%E9%9B%B6%E7%A7%92%E9%82%8F%E8%BC%AF%E6%80%9D%E8%80%83,https://www.books.com.tw/web/sys_serch/?item=%E9%BA%A5%E8%82%AF%E9%8C%AB%E3%81%AE%E9%9B%B6%E7%A7%92%E9%82%8F%E8%BC%AF%E6%80%9D%E8%80%83
麥肯錫菁英最重視的39個工作習慣,39 Work Habits of McKinsey Elite,未知,39-work-habits-of-mckinsey-elite,39 Work Habits of McKinsey Elite | Essential work habits that drive success at top consulting firms,growth-book-summary book-summary,自我管理,growth-book-summary,https://www.amazon.com/s?k=%E9%BA%A5%E8%82%AF%E9%8C%AB39%E5%80%8B%E5%B7%A5%E4%BD%9C%E7%BF%92%E6%85%A3,https://www.books.com.tw/web/sys_serch/?item=%E9%BA%A5%E8%82%AF%E9%8C%AB%E8%8F%81%E8%8B%B1%E6%9C%80%E9%87%8D%E8%A6%96%E7%9A%8439%E5%80%8B%E5%B7%A5%E4%BD%9C%E7%BF%92%E6%85%A3
麥肯錫情緒處理與菁英養成法,McKinsey Emotional Management and Elite Development,未知,mckinsey-emotional-management-and-elite-development,McKinsey Emotional Management and Elite Development | Managing emotions and developing elite capabilities McKinsey way,growth-book-summary book-summary,自我管理,growth-book-summary,https://www.amazon.com/s?k=%E9%BA%A5%E8%82%AF%E9%8C%AB%E6%83%85%E7%B7%92%E8%99%95%E7%90%86%E8%8F%81%E8%8B%B1%E9%A4%8A%E6%88%90%E6%B3%95,https://www.books.com.tw/web/sys_serch/?item=%E9%BA%A5%E8%82%AF%E9%8C%AB%E6%83%85%E7%B7%92%E8%99%95%E7%90%86%E8%88%87%E8%8F%81%E8%8B%B1%E9%A4%8A%E6%88%90%E6%B3%95
終結低等勤奮,Ending Low-Quality Busyness,未知,ending-low-quality-busyness,Ending Low-Quality Busyness | Moving from mindless hard work to strategic effective productivity,growth-book-summary book-summary,自我管理,growth-book-summary,https://www.amazon.com/s?k=%E7%B5%82%E7%B5%90%E4%BD%8E%E7%AD%89%E5%8B%A4%E5%A5%AE,https://www.books.com.tw/web/sys_serch/?item=%E7%B5%82%E7%B5%90%E4%BD%8E%E7%AD%89%E5%8B%A4%E5%A5%AE
深度學習力,Deep Learning Power,未知,deep-learning-power,Deep Learning Power | Mastering the art of profound learning for true understanding and retention,growth-book-summary book-summary,自我管理,growth-book-summary,https://www.amazon.com/s?k=%E6%B7%B1%E5%BA%A6%E5%AD%B8%E7%BF%92%E5%8A%9B,https://www.books.com.tw/web/sys_serch/?item=%E6%B7%B1%E5%BA%A6%E5%AD%B8%E7%BF%92%E5%8A%9B
深度工作力,Deep Work,Cal Newport,deep-work,Deep Work | Cal Newport | Rules for focused success in a distracted world through deep concentrated work,growth-book-summary book-summary,自我管理,growth-book-summary,https://www.amazon.com/s?k=Deep%20Work%20Cal%20Newport,https://www.books.com.tw/web/sys_serch/?item=%E6%B7%B1%E5%BA%A6%E5%B7%A5%E4%BD%9C%E5%8A%9B
專業,Professionalism,未知,professionalism,Professionalism | Understanding and embodying the highest standards of professional excellence,growth-book-summary book-summary,自我管理,growth-book-summary,https://www.amazon.com/s?k=%E5%B0%88%E6%A5%AD,https://www.books.com.tw/web/sys_serch/?item=%E5%B0%88%E6%A5%AD
將世界菁英的工作方式整理成冊,Work Methods of World Elites Compiled,未知,work-methods-of-world-elites-compiled,Work Methods of World Elites Compiled | Comprehensive compilation of work strategies from global top performers,growth-book-summary book-summary,自我管理,growth-book-summary,https://www.amazon.com/s?k=%E4%B8%96%E7%95%8C%E8%8F%81%E8%8B%B1%E5%B7%A5%E4%BD%9C%E6%96%B9%E5%BC%8F,https://www.books.com.tw/web/sys_serch/?item=%E5%B0%87%E4%B8%96%E7%95%8C%E8%8F%81%E8%8B%B1%E7%9A%84%E5%B7%A5%E4%BD%9C%E6%96%B9%E5%BC%8F%E6%95%B4%E7%90%86%E6%88%90%E5%86%8A
